hora,temperatura
20210511T0000,8.809096
20210511T0100,8.259096
20210511T0200,7.1390967
20210511T0300,6.2790966
20210511T0400,5.7590966
20210511T0500,5.1390967
20210511T0600,4.2490964
20210511T0700,3.5190969
20210511T0800,5.4690967
20210511T0900,7.2790966
20210511T1000,9.219096
20210511T1100,11.269096
20210511T1200,12.499097
20210511T1300,12.949097
20210511T1400,15.979097
20210511T1500,16.859097
20210511T1600,17.339096
20210511T1700,17.549097
20210511T1800,17.399097
20210511T1900,17.329096
20210511T2000,16.609097
20210511T2100,14.489097
20210511T2200,12.929096
20210511T2300,11.939096
20210512T0000,11.279097
20210512T0100,11.019096
20210512T0200,10.919097
20210512T0300,8.729096
20210512T0400,7.8190966
20210512T0500,7.6890965
20210512T0600,6.2690964
20210512T0700,6.7390966
20210512T0800,8.879097
20210512T0900,9.829097
20210512T1000,11.329097
20210512T1100,12.799096
20210512T1200,14.719096
20210512T1300,14.729096
20210512T1400,17.599096
20210512T1500,18.379097
20210512T1600,19.129097
20210512T1700,19.209097
20210512T1800,19.069096
20210512T1900,18.359097
20210512T2000,17.519096
20210512T2100,15.269096
20210512T2200,12.989097
20210512T2300,11.679096
20210513T0000,9.809096
20210513T0100,8.559096
20210513T0200,7.4990964
20210513T0300,7.3690968
20210513T0400,6.8290963
20210513T0500,6.5590963
20210513T0600,6.2190967
20210513T0700,5.6790967
20210513T0800,7.2390966
20210513T0900,10.619097
20210513T1000,13.029097
20210513T1100,15.089096
20210513T1200,16.809097
20210513T1300,18.529097
20210513T1400,19.989096
20210513T1500,20.849096
20210513T1600,21.589096
20210513T1700,20.819096
20210513T1800,20.539097
20210513T1900,20.129097
20210513T2000,18.949097
20210513T2100,17.889097
20210513T2200,16.389097
20210513T2300,13.999097
20210514T0000,12.6490965
20210514T0100,12.159097
20210514T0200,10.969096
20210514T0300,9.869097
20210514T0400,9.239097
20210514T0500,8.809096
20210514T0600,8.549096
20210514T0700,7.5790963
20210514T0800,8.389096
20210514T0900,11.599096
20210514T1000,14.189096
20210514T1100,15.889097
20210514T1200,17.259096
20210514T1300,18.419096
20210514T1400,19.619097
20210514T1500,21.189096
20210514T1600,22.109097
20210514T1700,22.479097
20210514T1800,22.709097
20210514T1900,22.929096
20210514T2000,22.549097
20210514T2100,19.869097
20210514T2200,19.259096
20210514T2300,18.059097
20210515T0000,15.209097
20210515T0100,11.259096
20210515T0200,11.219096
20210515T0300,12.009096
20210515T0400,11.449097
20210515T0500,10.619097
20210515T0600,10.009096
20210515T0700,9.239097
20210515T0800,10.1490965
20210515T0900,13.569097
20210515T1000,16.939096
20210515T1100,19.489096
20210515T1200,21.769096
20210515T1300,23.229097
20210515T1400,24.189096
20210515T1500,25.779097
20210515T1600,26.279097
20210515T1700,26.489096
20210515T1800,26.629097
20210515T1900,26.139097
20210515T2000,25.979097
20210515T2100,23.179096
20210515T2200,22.069096
20210515T2300,19.299097
20210516T0000,17.159096
20210516T0100,16.269096
20210516T0200,15.3990965
20210516T0300,15.429096
20210516T0400,14.559096
20210516T0500,13.579097
20210516T0600,12.109097
20210516T0700,10.919097
20210516T0800,12.429096
20210516T0900,15.929096
20210516T1000,18.579096
20210516T1100,21.159096
20210516T1200,23.079096
20210516T1300,24.259096
20210516T1400,25.449097
20210516T1500,26.119097
20210516T1600,26.419096
20210516T1700,26.189096
20210516T1800,25.299097
20210516T1900,25.909096
20210516T2000,24.679096
20210516T2100,22.099096
20210516T2200,19.659096
20210516T2300,18.169096
20210517T0000,15.939096
20210517T0100,14.109097
20210517T0200,13.529097
20210517T0300,12.759096
20210517T0400,11.279097
20210517T0500,9.659097
20210517T0600,7.919097
20210517T0700,6.6290965
20210517T0800,8.669097
20210517T0900,13.609097
20210517T1000,16.239096
20210517T1100,18.049097
20210517T1200,19.749096
20210517T1300,21.279097
20210517T1400,22.709097
20210517T1500,23.899097
20210517T1600,24.769096
20210517T1700,25.239096
20210517T1800,25.209097
20210517T1900,24.909096
20210517T2000,24.499096
20210517T2100,23.019096
20210517T2200,20.029097
20210517T2300,16.279097
